100 kDa ileum brush border membrane protei	3.4.17.21
1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase delta-	3.1.4.11
1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase delta-3-	3.1.4.11
1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase epsilon-	3.1.4.11
1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase eta-	3.1.4.11
1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase gamma-	3.1.4.11
1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase zeta-	3.1.4.11
1-phosphatidylinositol-4-phosphate kinas	2.7.1.68
1-phosphatidylinositol-4-phosphate kinase 1	2.7.1.68
1-phosphatidylinositol-4-phosphate kinase	2.7.1.68
1-phosphatidylinositol-5-phosphate 4-kinase 2-alph	2.7.1.149
1-phosphatidylinositol-5-phosphate 4-kinase 2-bet	2.7.1.149
1-phosphatidylinositol phosphodiesteras	4.6.1.13
1-phosphofructokinas	2.7.1.56
1-pyrroline-5-carboxylate dehydrogenas	1.5.1.12
1-pyrroline-5-carboxylate dehydrogenase	1.5.1.12
1-pyrroline dehydrogenas	1.2.1.19
(-)-(1S,4R)-camphene synthas	4.2.3.n4
(-)-(1S,5S)-alpha-pinene synthas	4.2.3.n7
(-)-(1S,5S)-pinene synthas	4.2.3.14
20-alpha-HS	1.-.-.-
20-alpha-HS	1.1.-.-
20-alpha-HS	1.1.1.-
20-alpha-HS	1.1.1.149
20-alpha-HS	1.1.1.189
20-alpha-HS	1.1.1.21
20-alpha-HS	1.1.1.62
20-alpha-hydroxysteroid dehydrogenas	1.-.-.-
20-alpha-hydroxysteroid dehydrogenas	1.1.-.-
20-alpha-hydroxysteroid dehydrogenas	1.1.1.-
20-alpha-hydroxysteroid dehydrogenas	1.1.1.149
20-alpha-hydroxysteroid dehydrogenas	1.1.1.189
20-alpha-hydroxysteroid dehydrogenas	1.1.1.21
20 alpha-hydroxysteroid dehydrogenas	1.1.1.62
20-beta-hydroxysteroid dehydrogenas	1.1.1.184
20-HETE synthas	1.14.15.3
20-hydroxyeicosatetraenoic acid synthas	1.14.15.3
20 kDa phosphoprotein orf	2.2.1.2
20SPA	3.4.25.1
20S-pre-rRNA D-site endonuclease nob	3.1.-.-
20S-pre-rRNA D-site endonuclease NOB	3.1.-.-
20S proteasome alpha subuni	3.4.25.1
20S proteasome alpha subunit	3.4.25.1
20S proteasome alpha subunit B-	3.4.25.1
20S proteasome alpha subunit C-	3.4.25.1
20S proteasome alpha subunit D-	3.4.25.1
20S proteasome alpha subunit E-	3.4.25.1
20S proteasome alpha subunit F-	3.4.25.1
20S proteasome alpha subunit G-	3.4.25.1
20S proteasome beta-6 subunit	3.4.25.1
20S proteasome beta subuni	3.4.25.1
20S proteasome beta subunit	3.4.25.1
20S proteasome beta subunit A-	3.4.25.1
20S proteasome beta subunit B-	3.4.25.1
20S proteasome beta subunit C-	3.4.25.1
20S proteasome beta subunit D-	3.4.25.1
20S proteasome beta subunit E-	3.4.25.1
20S proteasome beta subunit F-	3.4.25.1
20S proteasome beta subunit G-	3.4.25.1
20S proteasome subunit	3.4.25.1
20S proteasome subunit alpha-	3.4.25.1
20S proteasome subunit alpha-4-	3.4.25.1
20S proteasome subunit alpha A-	3.4.25.1
20S proteasome subunit beta-	3.4.25.1
216.5 kDa protei	2.7.7.48
2,1-beta-D-fructanfructanohydrolas	3.2.1.7
21-OHas	1.14.99.10
21S rRNA [GM2251] 2'O-methyltransferas	2.1.1.-
21S rRNA intron maturas	3.1.-.-
2,2',3-trihydroxybiphenyl dioxygenas	1.13.11.-
2',	2.7.7.25
2,2-dialkylglycine decarboxylas	4.1.1.64
22 kDa FK506-binding protei	5.2.1.8
22 kDa FKB	5.2.1.8
22 kDa interstitial collagenas	3.4.24.7
22 kDa protei	2.7.7.48
22 kDa xylanas	3.2.1.8
	2.3.1.47
	2.3.1.75
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferas	2.3.1.89
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferas	2.3.1.117
239A	3.1.-.-
239F	3.1.-.-
2,3-bisphosphoglycerate-dependent phosphoglycerate mutas	5.4.2.1
2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	5.4.2.1
2,3-bisphosphoglycerate-independent phosphoglycerate mutas	5.4.2.1
2,3-bisphosphoglycerate-independent phosphoglycerate mutase	5.4.2.1
2,3-bisphosphoglycerate mutase, erythrocyt	5.4.2.4
2,3-bisphosphoglycerate synthas	5.4.2.4
2',3'-cyclic-nucleotide 2'-phosphodiesteras	3.1.4.16
2',3'-cyclic-nucleotide 2'-phosphodiesterase	3.1.4.16
2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidas	3.1.4.16
2',3'-cyclic-nucleotide 3'-phosphodiesteras	3.1.4.37
2,3-DHBA decarboxylas	4.1.1.46
2,3-dihydro-2,3-dihydroxybenzoate dehydrogenas	1.3.1.28
2,3 dihydro-2,3 dihydroxybenzoate synthas	3.3.2.1
2,3-dihydro-2,3-dihydroxybiphenyl dehydrogenas	1.3.1.56
2,3-dihydroxy-2,3-dihydro-p-cumate dehydrogenas	1.3.1.58
2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenas	1.3.1.n1
2,3-dihydroxy-4-phenylhexa-4,6-diene dehydrogenas	1.3.1.56
2,3-dihydroxy acid hydrolyas	4.2.1.9
2,3-dihydroxybenzoate-AMP ligas	2.7.7.58
2,3-dihydroxybenzoate-AMP ligas	6.3.2.-
2,3-dihydroxybenzoic acid decarboxylas	4.1.1.46
2,3-dihydroxybiphenyl dioxygenas	1.13.11.39
2,3-dihydroxybiphenyl dioxygenase	1.13.11.39
2,3-dihydroxybiphenyl dioxygenase I	1.13.11.39
2,3-dihydroxybiphenyl dioxygenase II	1.13.11.39
2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenas	1.13.11.16
2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase	1.13.11.16
2,3-diketo-5-methylthio-1-phosphopentane phosphatas	3.1.3.77
2,3-diketo-5-methylthio-1-phosphopentane phosphatas	4.2.1.109
2,3-diketo-5-methylthiopentyl-1-phosphate enolas	5.3.2.n1
2,3-diketo-L-gulonate reductas	1.1.1.130
2,3-di-O-geranylgeranylglyceryl phosphate reductas	1.3.1.-
2,3-di-O-geranylgeranylglyceryl phosphate reductase	1.3.1.-
2,3-DKG reductas	1.1.1.130
2,3-epoxysqualene--cycloartenol cyclas	5.4.99.8
2,3-epoxysqualene--lanosterol cyclas	5.4.99.7
23 kDa FK506-binding protei	5.2.1.8
23 kDa FKB	5.2.1.8
23 kDa protei	2.7.7.48
23OHBP oxygenas	1.13.11.39
23OHBP oxygenase	1.13.11.39
23OHBP oxygenase I	1.13.11.39
23OHBP oxygenase II	1.13.11.39
2'(3')-polynucleotidas	3.1.3.32
2,3Q	1.13.11.24
23S rRNA 2'-O-ribose methyltransferase rlm	2.1.1.-
23S rRNA [AM1067] 2'-O-methyltransferas	2.1.1.66
23S rRNA Gm2251 2'-O-methyltransferas	2.1.1.-
23S rRNA (guanosine-2'-O-)-methyltransferase rlm	2.1.1.-
23S rRNA intron 1 protei	3.1.-.-
23S rRNA intron protei	3.1.-.-
23S rRNA m1G745 methyltransferas	2.1.1.51
23S rRNA m2A2503 methyltransferas	2.1.1.-
23S rRNA m2A2503 methyltransferase	2.1.1.-
23S rRNA m2G1835 methyltransferas	2.1.1.52
23S rRNA m2G2445 methyltransferas	2.1.1.52
23S rRNA m3Psi1915 methyltransferas	2.1.1.-
23S rRNA m3Psi1915 methyltransferase	2.1.1.-
23S rRNA m5C1962 methyltransferas	2.1.1.-
23S rRNA(M-5-U1939)-methyltransferas	2.1.1.-
23S rRNA(M-5-U747)-methyltransferas	2.1.1.-
23S rRNA m8A2503 methyltransferas	2.1.1.-
23S rRNA mA1618 methyltransferas	2.1.1.48
23S rRNA methylas	2.1.1.-
23S rRNA methylas	2.1.1.66
23S rRNA methyltransferas	2.1.1.-
23S rRNA Um2252 methyltransferas	2.1.1.-
23S rRNA (uracil-5-)-methyltransferase rum	2.1.1.-
	2.4.1.-
	2.4.1.69
241 kDa polyprotei	2.7.7.48
	2.4.2.36
2,4-DCP hydroxylas	1.14.13.20
2,4-D dioxygenas	1.14.11.-
24-dehydrocholesterol reductas	1.3.1.-
2,4-dichlorophenol 6-monooxygenas	1.14.13.20
2,4-dichlorophenol hydroxylas	1.14.13.20
2,4-dienoyl-CoA reductase	1.3.1.34
2,4-dienoyl-CoA reductase, mitochondria	1.3.1.34
2,4-dienoyl-CoA reductase [NADPH	1.3.1.34
2,4-dienoyl-CoA reductase-related protei	1.3.1.38
2,4-dienoyl coenzyme A reductas	1.3.1.34
2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolas	4.1.2.n4
24-hydroxycholesterol 7-alpha-hydroxylas	1.14.13.99
24 kDa auxin-binding protei	2.5.1.18
24 kDa metalloproteinas	3.4.24.39
24 kDa protei	1.11.1.15
24 kDa protei	3.4.22.-
24 kDa xylanas	3.2.1.8
24-methylenesterol C-methyltransferase	2.1.1.143
24-OHas	1.14.13.n4
24-sterol C-methyltransferase	2.1.1.143
24-sterol C-methyltransferase	2.1.1.41
2-5A-dependent ribonucleas	3.1.26.-
2-5A-dependent RNas	3.1.26.-
2-5A synthase 1	2.7.7.-
2-5A synthase	2.7.7.-
2,5-DCHQ dechlorinas	2.5.1.-
2,5-DDOL dehydrogenas	1.1.1.-
2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenas	1.1.1.-
2,5-dichlorohydroquinone reductive dechlorinas	2.5.1.-
2,5-diketo-D-gluconic acid reductase	1.1.1.274
2,5-DKGR	1.1.1.274
25DKGR-	1.1.1.274
2,5-DKG reductase	1.1.1.274
25-hydroxycholesterol 7-alpha-hydroxylas	1.14.13.100
25-hydroxyvitamin D-1 alpha hydroxylase, mitochondria	1.14.13.13
25-hydroxyvitamin D(3) 1-alpha-hydroxylas	1.14.13.13
25 kDa auxin-binding protei	2.5.1.18
25 kDa FK506-binding protei	5.2.1.8
25 kDa FKB	5.2.1.8
25 kDa protei	3.6.4.13
25-OHD-1 alpha-hydroxylas	1.14.13.13
2'-5'-oligoadenylate synthase 1	2.7.7.-
2'-5'-oligoadenylate synthase	2.7.7.-
2'-5'-oligoadenylate synthase-like protein	2.7.7.-
(2-5')oligo(A) synthase 1	2.7.7.-
(2-5')oligo(A) synthase	2.7.7.-
2',5'-phosphodiesterase 1	3.1.4.-
2'-5'-RNA ligas	6.5.1.-
2-(5''-triphosphoribosyl)-3'-d	2.7.7.61
2-(5''-triphosphoribosyl)-3'-dephospho-CoA synthas	2.7.8.25
2-(5''-triphosphoribosyl)-3'-dephospho-CoA synthase	2.7.8.25
