1.1.1.198	(+)-borneol:NAD+ oxidoreductase
4.1.3.34	(3S)-citryl-CoA oxaloacetate-lyase (acetyl-CoA-forming)
1.3.1.53	(3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate:NAD+oxidoreductase
4.1.2.34	(3Z)-4-(2-carboxyphenyl)-2-oxobut-3-enoate 2-formylbenzoate-lyase(pyruvate-forming)
1.3.7.5	(3Z)-phycocyanobilin:ferredoxin oxidoreductase
1.3.7.3	(3Z)-phycoerythrobilin:ferredoxin oxidoreductase
1.3.7.6	(3Z)-phycoerythrobilin:ferredoxin oxidoreductase (from biliverdinIXalpha)
1.3.7.4	(3Z)-phytochromobilin:ferredoxin oxidoreductase
1.14.13.84	(4-hydroxyphenyl)ethan-1-one,NADPH:oxygen oxidoreductase(ester-forming)
2.3.2.2	(5-L-glutamyl)-peptide:amino-acid 5-glutamyltransferase
1.1.1.231	(5Z,13E)-(15S)-6,9alpha-epoxy-11alpha,15-dihydroxyprosta-513-dienoate:NADP+ 15-oxidoreductase
1.1.1.188	(5Z,13E)-(15S)-9alpha,11alpha,15-trihydroxyprosta-5,13-dienoate:NADP+11-oxidoreductase
1.1.1.189	(5Z,13E)-(15S)-9alpha,11alpha,15-trihydroxyprosta-5,13-dienoate:NADP+9-oxidoreductase
5.3.99.4	(5Z,13E)-(15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13-dienoate6-isomerase
5.3.99.3	(5Z,13E)-(15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13-dienoateE-isomerase
5.3.99.5	(5Z,13E)-(15S)-9alpha,11alpha-epidioxy-15-hydroxyprosta-5,13-dienoateisomerase
1.1.1.196	(5Z,13E)-(15S)-9alpha,15-dihydroxy-11-oxoprosta-5,13-dienoate:NADP+15-oxidoreductase
1.1.1.141	(5Z,13E,15S)-11alpha,15-dihydroxy-9-oxoprost-5,13-dienoate:NAD+15-oxidoreductase
5.3.99.2	(5Z,13E,15S)-9alpha,11alpha-epidioxy-15-hydroxyprosta-5,13-dienoateD-isomerase
1.14.99.1	(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoate,hydrogen-donor:oxygenoxidoreductase
5.3.3.13	(5Z,8Z,11Z,14Z,17Z)-icosapentaenoate DELTA8,11-DELTA7,9-isomerase(trans-double-bond-forming)
3.3.2.7	(5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoatehydrolase
4.1.99.B2 (preliminary BRENDA-supplied EC number)	(6-4) photoproduct pyrimidine-lyase
4.2.1.96	(6R)-6-(L-erythro-1,2-dihydroxypropyl)-5,6,78-tetrahydro-4a-hydroxypterin hydro-lyase[(6R)-6-(L-erythro-1,2-dihydroxypropyl)-7,8-dihydro-6H-pterin-forming]
4.2.1.93	(6S)-6beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine-dinucleotidehydro-lyase (ATP-hydrolysing; NADH-forming)
1.14.11.14	(6S)-6beta-hydroxyhyoscyamine,2-oxoglutarate oxidoreductase(epoxide-forming)
1.14.13.30	(6Z,8E,10E,14Z)-(5S,12R)-5,12-dihydroxyicosa-6,8,10,14-tetraenoateNADPH:oxygen oxidoreductase (20-hydroxylating)
1.14.13.28	(6aR,11aR)-3,9-dihydroxypterocarpan,NADPH:oxygen oxidoreductase(6a-hydroxylating)
1.14.13.34	(7E,9E,11Z,14Z)-(5S,6R)-6-(cystein-S-yl)-5-hydroxyicosa-7,9,1114-tetraenoate,NADPH:oxygen oxidoreductase (20-hydroxylating)
3.3.2.6	(7E,9E,11Z,14Z)-(5S,6S)-5,6-epoxyicosa-7,9,11,14-tetraenoate hydrolase
3.5.1.93	(7R)-7-(4-carboxybutanamido)cephalosporanate amidohydrolase
3.1.3.76	(9S,10S)-10-hydroxy-9-(phosphonooxy)octadecanoate phosphohydrolase
5.3.99.6	(9Z)-(13S)-12,13-Epoxyoctadeca-9,11,15-trienoate isomerase (cyclizing)
4.2.1.92	(9Z,11E,15Z)-(13S)-hydroperoxyoctadeca-9,11,15-trienoate12,13-hydro-lyase[(9Z,15Z)-(13S)-12,13-epoxyoctadeca-9,11,15-trienoate-forming]
2.3.1.93	(E)-2-methylcrotonoyl-CoA:13-hydroxylupinineO-2-methylcrotonoyltransferase
1.17.7.1	(E)-4-hydroxy-3-methylbut-2-en-1-yl-diphosphate:oxidized ferredoxinoxidoreductase
2.8.3.17	(E)-cinnamoyl-CoA:(R)-phenyllactate CoA-transferase
2.5.1.11	(E)-octaprenyl-diphosphate:isopentenyl-diphosphateoctaprenyltranstransferase
2.3.1.145	(E,E)-piperoyl-CoA:piperidine N-piperoyltransferase
1.1.1.75	(R)-1-aminopropan-2-ol:NAD+ oxidoreductase
4.2.1.53	(R)-10-hydroxystearate 10-hydro-lyase (oleate-forming)
1.1.1.86	(R)-2,3-dihydroxy-3-methylbutanoate:NADP+ oxidoreductase (isomerizing)
3.1.6.17	(R)-2-O-sulfolactate 2-sulfohydrolase
4.1.1.44	(R)-2-carboxy-2,5-dihydro-5-oxofuran-2-acetate carboxy-lyase(4,5-dihydro-5-oxofuran-2-acetate-forming)
3.8.1.9	(R)-2-haloacid halidohydrolase
1.1.99.6	(R)-2-hydroxy-acid:acceptor 2-oxidoreductase
1.1.1.272	(R)-2-hydroxyacid:NAD(P)+ oxidoreductase
4.2.1.114	(R)-2-hydroxybutane-1,2,4-tricarboxylate hydro-lyase[(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate-forming]
1.1.1.98	(R)-2-hydroxystearate:NAD+ oxidoreductase
4.2.1.35	(R)-2-methylmalate hydro-lyase (2-methylmaleate-forming)
3.1.3.71	(R)-2-phospho-3-sulfolactate phosphohydrolase
1.1.1.84	(R)-3,3-dimethylmalate:NAD+ oxidoreductase (decarboxylating)
3.1.1.22	(R)-3-((R)-3-hydroxybutanoyloxy)butanoate hydroxybutanoylhydrolase
1.1.1.222	(R)-3-(4-hydroxyphenyl)lactate:NAD(P)+ 2-oxidoreductase
2.6.1.40	(R)-3-amino-2-methylpropanoate:pyruvate aminotransferase
1.1.1.36	(R)-3-hydroxyacyl-CoA:NADP+ oxidoreductase
1.1.1.30	(R)-3-hydroxybutanoate:NAD+ oxidoreductase
2.3.1.129	(R)-3-hydroxytetradecanoyl-[acyl-carrierprotein]:UDP-N-acetylglucosamine3-O-(3-hydroxytetradecanoyl)transferase
6.3.2.5	(R)-4'-phosphopantothenate:L-cysteine ligase
1.2.1.33	(R)-4-dehydropantoate:NAD+ 4-oxidoreductase
1.5.3.6	(R)-6-hydroxynicotine:oxygen oxidoreductase
6.3.2.1	(R)-Pantoate:beta-alanine ligase (AMP-forming)
1.5.1.27	(R)-Reticuline:NADP+ oxidoreductase
4.4.1.5	(R)-S-lactoylglutathione methylglyoxal-lyase (isomerizing;glutathione-forming)
4.4.1.23 ()	(R)-[or (S)-]2-hydroxypropyl-CoM:2-mercaptoethanesulfonate lyase(epoxyalkane-ring-forming)
1.3.99.21	(R)-benzylsuccinyl-CoA:acceptor oxidoreductase
1.1.1.60	(R)-glycerate:NAD(P)+ oxidoreductase
1.1.1.29	(R)-glycerate:NAD+ oxidoreductase
1.1.1.78	(R)-lactaldehyde:NAD+ oxidoreductase
1.1.1.28	(R)-lactate:NAD+ oxidoreductase
1.1.2.4	(R)-lactate:ferricytochrome-c 2-oxidoreductase
1.1.2.5	(R)-lactate:ferricytochrome-c-553 2-oxidoreductase
1.14.13.80	(R)-limonene,NADPH:oxygen oxidoreductase (6-hydroxylating)
4.2.1.31	(R)-malate hydro-lyase (maleate-forming)
1.1.1.83	(R)-malate:NAD+ oxidoreductase (decarboxylating)
5.4.99.2	(R)-methylmalonyl-CoA CoA-carbonylmutase
1.1.1.32	(R)-mevalonate:NAD+ oxidoreductase
1.1.1.88	(R)-mevalonate:NAD+ oxidoreductase (CoA-acylating)
1.1.1.33	(R)-mevalonate:NADP+ oxidoreductase
1.1.1.34	(R)-mevalonate:NADP+ oxidoreductase (CoA-acylating)
3.5.1.92	(R)-pantetheine amidohydrolase
1.1.1.106	(R)-pantoate:NAD+ 4-oxidoreductase
1.1.1.169	(R)-pantoate:NADP+ 2-oxidoreductase
1.1.1.168	(R)-pantolactone:NADP+ oxidoreductase (A-specific)
1.1.1.214	(R)-pantolactone:NADP+ oxidoreductase (B-specific)
1.1.99.27	(R)-pantolactone:acceptor oxidoreductase (flavin-containing)
3.5.1.22	(R)-pantothenate amidohydrolase
1.14.21.4	(R)-reticuline,NADPH:oxygen oxidoreductase (C-C phenol-coupling)
1.5.1.31	(R)-tetrahydroberberine:NADP+ oxidoreductase
3.2.1.119	(R)-vicianin beta-D-glucohydrolase
1.1.1.77	(R)[or (S)]-propane-1,2-diol:NAD+ oxidoreductase
1.1.1.4	(R,R)-butane-2,3-diol:NAD+ oxidoreductase
4.1.1.73	(R,R)-tartrate carboxy-lyase (D-glycerate-forming)
4.2.1.32	(R,R)-tartrate hydro-lyase (oxaloacetate-forming)
1.5.1.12	(S)-1-pyrroline-5-carboxylate:NAD+ oxidoreductase
1.3.1.26	(S)-2,3,4,5-tetrahydropyridine-2,6-dicarboxylate:NAD(P)+ oxidoreductase
5.4.99.8	(S)-2,3-Epoxysqualene mutase (cyclizing, cycloartenol-forming)
5.4.99.7	(S)-2,3-Epoxysqualene mutase (cyclizing, lanosterol-forming)
3.8.1.10	(S)-2-haloacid dehalogenase (configuration-inverting)
3.8.1.11	(S)-2-haloacid dehalogenase (configuration-retaining)
3.8.1.2	(S)-2-haloacid halidohydrolase
1.1.3.19	(S)-2-hydroxy-2-(4-hydroxyphenyl)acetate:oxygen 1-oxidoreductase
1.14.16.6	(S)-2-hydroxy-2-phenylacetate,tetrahydrobiopterin:oxygen oxidoreductase(4-hydroxylating)
1.1.99.31	(S)-2-hydroxy-2-phenylacetate:acceptor 2-oxidoreductase
1.1.3.15	(S)-2-hydroxy-acid:oxygen 2-oxidoreductase
1.1.99.2	(S)-2-hydroxyglutarate:acceptor 2-oxidoreductase
1.1.1.291	(S)-2-hydroxymethylglutarate:NAD+ oxidoreductase
1.1.1.99	(S)-2-hydroxystearate:NAD+ oxidoreductase
4.2.1.34	(S)-2-methylmalate hydro-lyase (2-methylfumarate-forming)
1.1.1.111	(S)-3-(imidazol-5-yl)lactate:NAD(P)+ oxidoreductase
2.6.1.22	(S)-3-amino-2-methylpropanoate:2-oxoglutarate aminotransferase
4.1.3.4	(S)-3-hydroxy-3-methylglutaryl-CoA acetoacetate-lyase(acetyl-CoA-forming)
4.2.1.18	(S)-3-hydroxy-3-methylglutaryl-CoA hydro-lyase(trans-3-methylglutaconyl-CoA-forming)
3.1.2.5	(S)-3-hydroxy-3-methylglutaryl-CoA hydrolase
1.1.1.35	(S)-3-hydroxyacyl-CoA:NAD+ oxidoreductase
1.1.99.24	(S)-3-hydroxybutanoate:2-oxoglutarate oxidoreductase
1.1.1.157	(S)-3-hydroxybutanoyl-CoA:NADP+ oxidoreductase
5.4.3.8	(S)-4-amino-5-oxopentanoate 4,5-aminomutase
4.1.2.11	(S)-4-hydroxymandelonitrile 4-hydroxybenzaldehyde-lyase(cyanide-forming)
1.5.3.5	(S)-6-hydroxynicotine:oxygen oxidoreductase
3.5.1.85	(S)-N-acetylphenylethylamine:H2O hydrolase
1.14.13.37	(S)-N-methylcanadine,NADPH:oxygen oxidoreductase (14-hydroxylating)
1.14.13.71	(S)-N-methylcoclaurine, NADPH:oxygen oxidoreductase (3'-hydroxylating)
1.14.21.3	(S)-N-methylcoclaurine,NADPH:oxygen oxidoreductase (C-Ophenol-coupling)
3.5.2.5	(S)-allantoin amidohydrolase
1.1.1.254	(S)-carnitine:NAD+ oxidoreductase
1.14.21.1	(S)-cheilanthifoline,NADPH:oxygen oxidoreductase(methylenedioxy-bridge-forming)
3.5.2.3	(S)-dihydroorotate amidohydrolase
1.3.1.14	(S)-dihydroorotate:NAD+ oxidoreductase
1.3.1.15	(S)-dihydroorotate:NADP+ oxidoreductase
1.3.3.1	(S)-dihydroorotate:oxygen oxidoreductase
1.3.5.2	(S)-dihydroorotate:quinone oxidoreductase
1.2.1.22	(S)-lactaldehyde:NAD+ oxidoreductase
4.1.2.36	(S)-lactate acetaldehyde-lyase (formate-forming)
1.1.1.27	(S)-lactate:NAD+ oxidoreductase
1.1.2.3	(S)-lactate:ferricytochrome-c 2-oxidoreductase
1.1.99.7	(S)-lactate:oxaloacetate oxidoreductase
1.13.12.4	(S)-lactate:oxygen 2-oxidoreductase (decarboxylating)
1.14.13.47	(S)-limonene,NADPH:oxygen oxidoreductase (3-hydroxylating)
1.14.13.48	(S)-limonene,NADPH:oxygen oxidoreductase (6-hydroxylating)
1.14.13.49	(S)-limonene,NADPH:oxygen oxidoreductase (7-hydroxylating)
4.2.1.2	(S)-malate hydro-lyase (fumarate-forming)
1.1.1.37	(S)-malate:NAD+ oxidoreductase
1.1.1.39	(S)-malate:NAD+ oxidoreductase (decarboxylating)
1.1.1.38	(S)-malate:NAD+ oxidoreductase (oxaloacetate-decarboxylating)
1.1.1.82	(S)-malate:NADP+ oxidoreductase
1.1.1.40	(S)-malate:NADP+ oxidoreductase (oxaloacetate-decarboxylating)
1.1.99.16	(S)-malate:acceptor oxidoreductase
1.1.3.3	(S)-malate:oxygen oxidoreductase
1.1.5.B5 (preliminary BRENDA-supplied EC number)	(S)-malate:quinone oxidoreductase
4.1.1.41	(S)-methylmalonyl-CoA carboxy-lyase (propanoyl-CoA-forming)
3.1.2.17	(S)-methylmalonyl-CoA hydrolase
2.1.3.1	(S)-methylmalonyl-CoA:pyruvate carboxytransferase
1.21.3.3	(S)-reticuline:oxygen oxidoreductase (methylene-bridge-forming)
1.14.21.2	(S)-scoulerine,NADPH:oxygen oxidoreductase(methylenedioxy-bridge-forming)
1.3.3.8	(S)-tetrahydroberberine:oxygen oxidoreductase
1.14.21.5	(S)-tetrahydrocolumbamine,NADPH:oxygen oxidoreductase(methylenedioxy-bridge-forming)
3.5.3.19	(S)-ureidoglycolate amidohydrolase (decarboxylating)
4.3.2.3	(S)-ureidoglycolate urea-lyase (glyoxylate-forming)
1.1.1.154	(S)-ureidoglycolate:NAD(P)+ oxidoreductase
1.1.1.76	(S,S)-butane-2,3-diol:NAD+ oxidoreductase
4.2.1.81	(S,S)-tartrate hydro-lyase (oxaloacetate-forming)
1.14.13.68	(Z)-4-hydroxyphenylacetaldehyde oxime,NADPH:oxygen oxidoreductase
2.3.1.179	(Z)-hexadec-11-enoyl-[acyl-carrier protein]:malonyl-[acyl-carrierprotein] C-acyltransferase (decarboxylating)
4.99.1.7	(Z)-phenylacetaldehyde-oxime hydro-lyase (phenylacetonitrile-forming)
1.97.1.3	(donor):sulfur oxidoreductase
2.3.2.4	(gamma-L-glutamyl)-L-amino-acid gamma-glutamyltransferase (cyclizing)
2.3.2.9	(gamma-L-glutamyl)-N1-(4-hydroxymethylphenyl)hydrazine:acceptorgamma-glutamyltransferase
1.14.11.13	(gibberellin-1),2-oxoglutarate:oxygen oxidoreductase(2beta-hydroxylating)
1.14.11.15	(gibberellin-20),2-oxoglutarate:oxygen oxidoreductase(3beta-hydroxylating)
1.14.11.12	(gibberellin-44),2-oxoglutarate:oxygen oxidoreductase
5.4.4.1	(hydroxyamino)benzene hydroxymutase
4.99.1.6	(indol-3-yl)acetaldehyde-oxime hydro-lyase[(indol-3-yl)acetonitrile-forming]
1.2.3.7	(indol-3-yl)acetaldehyde:oxygen oxidoreductase
6.3.2.20	(indol-3-yl)acetate:L-lysine ligase (ADP-forming)
1.1.1.190	(indol-3-yl)ethanol:NAD+ oxidoreductase
1.1.1.191	(indol-3-yl)ethanol:NADP+ oxidoreductase
1.1.1.110	(indol-3-yl)lactate:NAD+ oxidoreductase
4.5.1.1	1,1,1-trichloro-2,2-bis(4-chlorophenyl)ethane chloride-lyase[1,1-dichloro-2,2-bis(4-chlorophenyl)ethylene-forming]
1.97.1.2	1,2,3,5-tetrahydroxybenzene:1,2,3-trihydroxybenzene hydroxytransferase
1.13.11.35	1,2,3-trihydroxybenzene:oxygen 1,2-oxidoreductase (decyclizing)
1.10.3.1	1,2-benzenediol:oxygen oxidoreductase
