(+)-abscisic acid 8'-hydroxylase	1.14.13.93
1,4-lactonase	3.1.1.25
1,5-anhydro-D-fructose dehydratase	4.2.1.111
1,5-anhydro-D-fructose reductase	1.1.1.263
1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming)	1.1.1.292
1,6-alpha-D-mannosidase	3.2.1.163
1,6-alpha-L-fucosidase	3.2.1.127
1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase	1.3.1.25
1-(5-phosphoribosyl)-5-[(5phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	5.3.1.16
1-acylglycerol-3-phosphate O-acyltransferase	2.3.1.51
1-acylglycerophosphocholine O-acyltransferase	2.3.1.23
1-alkenyl-2-acylglycerol choline phosphotransferase	2.7.8.22
1-alkenylglycerophosphocholine O-acyltransferase	2.3.1.104
1-alkenylglycerophosphoethanolamine O-acyltransferase	2.3.1.121
1-alkyl-2-acetylglycerol O-acyltransferase	2.3.1.125
1-alkyl-2-acetylglycerophosphocholine esterase	3.1.1.47
1-alkylglycerophosphocholine O-acetyltransferase	2.3.1.67
1-alkylglycerophosphocholine O-acyltransferase	2.3.1.63
1-aminocyclopropane-1-carboxylate deaminase	3.5.99.7
1-aminocyclopropane-1-carboxylate synthase	4.4.1.14
1-deoxy-D-xylulose-5-phosphate reductoisomerase	1.1.1.267
1-deoxy-D-xylulose-5-phosphate synthase	2.2.1.7
1-hydroxy-2-naphthoate 1,2-dioxygenase	1.13.11.38
1-methyladenosine nucleosidase	3.2.2.13
1-phosphatidylinositol 4-kinase	2.7.1.67
1-phosphatidylinositol-3-phosphate 5-kinase	2.7.1.150
1-phosphatidylinositol-4-phosphate 5-kinase	2.7.1.68
1-phosphatidylinositol-5-phosphate 4-kinase	2.7.1.149
1-phosphofructokinase	2.7.1.56
1-pyrroline-4-hydroxy-2-carboxylate deaminase	3.5.4.22
1-pyrroline-5-carboxylate dehydrogenase	1.5.1.12
10-deacetylbaccatin III 10-O-acetyltransferase	2.3.1.167
10-hydroxydihydrosanguinarine 10-O-methyltransferase	2.1.1.119
10-hydroxytaxane O-acetyltransferase	2.3.1.163
11-cis-retinyl-palmitate hydrolase	3.1.1.63
11beta-hydroxysteroid dehydrogenase	1.1.1.146
12-hydroxydihydrochelirubine 12-O-methyltransferase	2.1.1.120
12-oxophytodienoate reductase	1.3.1.42
12alpha-hydroxysteroid dehydrogenase	1.1.1.176
12beta-hydroxysteroid dehydrogenase	1.1.1.238
13-hydroxydocosanoate 13-beta-glucosyltransferase	2.4.1.158
13-hydroxylupinine O-tigloyltransferase	2.3.1.93
15,16-dihydrobiliverdin:ferredoxin oxidoreductase	1.3.7.2
15-hydroxyicosatetraenoate dehydrogenase	1.1.1.232
15-hydroxyprostaglandin dehydrogenase (NAD+)	1.1.1.141
15-hydroxyprostaglandin dehydrogenase (NADP+)	1.1.1.197
15-hydroxyprostaglandin-D dehydrogenase (NADP+)	1.1.1.196
15-hydroxyprostaglandin-I dehydrogenase (NADP+)	1.1.1.231
15-oxoprostaglandin 13-oxidase	1.3.1.48
15beta-steroid hydroxylase	1.14.13.B5
16-Hydroxysteroid epimerase	5.1.99.2
16alpha-hydroxyprogesterone dehydratase	4.2.1.98
16alpha-hydroxysteroid dehydrogenase	1.1.1.147
17alpha-Hydroxyprogesterone aldolase	4.1.2.30
1D-1-guanidino-3-amino-1,3-dideoxy-scyllo-inositol transaminase	2.6.1.56
2',3'-cyclic-nucleotide 2'-phosphodiesterase	3.1.4.16
2',3'-cyclic-nucleotide 3'-phosphodiesterase	3.1.4.37
2'-deoxymugineic-acid 2'-dioxygenase	1.14.11.24
2'-hydroxybiphenyl-2-sulfinate desulfinase	3.13.1.3
2'-hydroxydaidzein reductase	1.3.1.51
2'-hydroxyisoflavone reductase	1.3.1.45
2'-phosphotransferase	2.7.1.160
2,1-fructan:2,1-fructan 1-fructosyltransferase	2.4.1.100
2,2-Dialkylglycine decarboxylase (pyruvate)	4.1.1.64
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	2.3.1.117
2,3-Dihydroxybenzoate-serine ligase	6.3.2.14
2,3-Dimethylmalate lyase	4.1.3.32
2,3-bisphospho-D-glycerate 3-phosphohydrolase	3.1.3.B3
2,3-diaminopropionate N-oxalyltransferase	2.3.1.58
2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	1.3.1.28
2,3-dihydroxy-2,3-dihydro-p-cumate dehydrogenase	1.3.1.58
2,3-dihydroxybenzoate 2,3-dioxygenase	1.13.11.28
2,3-dihydroxybenzoate 3,4-dioxygenase	1.13.11.14
2,3-dihydroxyindole 2,3-dioxygenase	1.13.11.23
2,4'-dihydroxyacetophenone dioxygenase	1.13.11.41
2,4-diaminopentanoate dehydrogenase	1.4.1.12
2,4-dichlorobenzoyl-CoA reductase	1.3.1.63
2,4-dichlorophenol 6-monooxygenase	1.14.13.20
2,4-dienoyl-CoA reductase (NADPH)	1.3.1.34
2,4-dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one2-D-glucosyltransferase	2.4.1.202
2,5-diaminovalerate transaminase	2.6.1.8
2,5-didehydrogluconate reductase	1.1.1.274
2,5-dihydroxypyridine 5,6-dioxygenase	1.13.11.9
2,5-dioxopiperazine hydrolase	3.5.2.13
2,5-dioxovalerate dehydrogenase	1.2.1.26
2,6-beta-fructan 6-levanbiohydrolase	3.2.1.64
2,6-dihydroxypyridine 3-monooxygenase	1.14.13.10
2,6-dioxo-6-phenylhexa-3-enoate hydrolase	3.7.1.8
2-(R)-hydroxypropyl-CoM dehydrogenase	1.1.1.268
2-(S)-hydroxypropyl-CoM dehydrogenase	1.1.1.269
2-(acetamidomethylene)succinate hydrolase	3.5.1.29
2-(hydroxymethyl)-3-(acetamidomethylene)succinate hydrolase	3.5.1.66
2-Acetolactate mutase	5.4.99.3
2-Aminobenzenesulfonate 2,3-dioxygenase	1.14.12.14
2-Aminohexano-6-lactam racemase	5.1.1.15
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	4.6.1.12
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	2.7.7.60
2-Chloro-4-carboxymethylenebut-2-en-1,4-olide isomerase	5.2.1.10
2-Dehydro-3-deoxy-D-pentonate aldolase	4.1.2.28
2-Dehydro-3-deoxy-L-pentonate aldolase	4.1.2.18
2-Dehydro-3-deoxyglucarate aldolase	4.1.2.20
2-Furoate-CoA ligase	6.2.1.31
2-Hydroxycyclohexanone 2-monooxygenase	1.14.13.66
2-Hydroxyquinoline 5,6-dioxygenase	1.14.12.16
2-Hydroxyquinoline 8-monooxygenase	1.14.13.61
2-Methylcitrate dehydratase	4.2.1.79
2-Methyleneglutarate mutase	5.4.99.4
2-acylglycerol O-acyltransferase	2.3.1.22
2-acylglycerol-3-phosphate O-acyltransferase	2.3.1.52
2-acylglycerophosphocholine O-acyltransferase	2.3.1.62
2-alkenal reductase	1.3.1.74
2-alkyn-1-ol dehydrogenase	1.1.1.165
2-amino-4-deoxychorismate dehydrogenase	1.3.99.24
2-amino-4-deoxychorismate synthase	2.6.1.86
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	2.7.6.3
2-aminoadipate transaminase	2.6.1.39
2-aminoethylphosphonate-pyruvate transaminase	2.6.1.37
2-aminohexanoate transaminase	2.6.1.67
2-aminomuconate deaminase	3.5.99.5
2-carboxy-D-arabinitol-1-phosphatase	3.1.3.63
2-chlorobenzoate 1,2-dioxygenase	1.14.12.13
2-coumarate O-beta-glucosyltransferase	2.4.1.114
2-coumarate reductase	1.3.1.11
2-dehydro-3-deoxy-6-phosphogalactonate aldolase	4.1.2.21
2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	1.1.1.127
2-dehydro-3-deoxy-D-gluconate 6-dehydrogenase	1.1.1.126
2-dehydro-3-deoxy-L-arabinonate dehydratase	4.2.1.43
2-dehydro-3-deoxy-phosphogluconate aldolase	4.1.2.14
2-dehydro-3-deoxygalactonokinase	2.7.1.58
2-dehydro-3-deoxygluconokinase	2.7.1.45
2-dehydropantoate 2-reductase	1.1.1.169
2-dehydropantoate aldolase	4.1.2.12
2-dehydropantolactone reductase (A-specific)	1.1.1.168
2-dehydropantolactone reductase (B-specific)	1.1.1.214
2-deoxy-D-gluconate 3-dehydrogenase	1.1.1.125
2-deoxyglucose-6-phosphatase	3.1.3.68
2-deoxyglucosidase	3.2.1.112
2-enoate reductase	1.3.1.31
2-ethylmalate synthase	2.3.3.6
2-furoyl-CoA dehydrogenase	1.3.99.8
2-haloacid dehalogenase (configuration-inverting)	3.8.1.10
2-haloacid dehalogenase (configuration-retaining)	3.8.1.11
2-hexadecenal reductase	1.3.1.27
2-hydroxy-1,4-benzoquinone reductase	1.6.5.7
2-hydroxy-3-oxoadipate synthase	2.2.1.5
2-hydroxy-3-oxopropionate reductase	1.1.1.60
2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate reductase	1.3.1.40
2-hydroxyacylsphingosine 1-beta-galactosyltransferase	2.4.1.45
2-hydroxybiphenyl 3-monooxygenase	1.14.13.44
2-hydroxyglutarate dehydrogenase	1.1.99.2
2-hydroxyglutarate synthase	2.3.3.11
2-hydroxyisoflavanone dehydratase	4.2.1.105
2-hydroxyisoflavanone synthase	1.14.13.86
2-hydroxymethylglutarate dehydrogenase	1.1.1.291
2-hydroxymuconate-semialdehyde hydrolase	3.7.1.9
2-hydroxypropyl-CoM lyase	4.4.1.23
2-hydroxypyridine 5-monooxygenase	1.14.99.26
2-isopropylmalate synthase	2.3.3.13
2-methyl-branched-chain-enoyl-CoA reductase	1.3.1.52
2-methylacyl-CoA dehydrogenase	1.3.99.12
2-methylcitrate synthase	2.3.3.5
2-methylisocitrate dehydratase	4.2.1.99
2-nitrophenol 2-monooxygenase	1.14.13.31
2-nitropropane dioxygenase	1.13.11.32
2-oxo-acid reductase	1.1.99.30
2-oxoadipate reductase	1.1.1.172
2-oxoaldehyde dehydrogenase (NAD+)	1.2.1.23
2-oxoaldehyde dehydrogenase (NADP+)	1.2.1.49
2-oxobutyrate synthase	1.2.7.2
2-oxoglutarate carboxylase	6.4.1.7
2-oxoglutarate decarboxylase	4.1.1.71
2-oxoglutarate synthase	1.2.7.3
2-oxoisovalerate dehydrogenase (acylating)	1.2.1.25
2-oxopent-4-enoate hydratase	4.2.1.80
2-oxopropyl-CoM reductase (carboxylating)	1.8.1.5
2-phosphosulfolactate phosphatase	3.1.3.71
2-pyrone-4,6-dicarboxylate lactonase	3.1.1.57
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acidsynthase	2.2.1.9 (formerly a partial reaction of EC 2.5.1.64)
2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	4.2.99.20 (formerly a partial reaction of EC 2.5.1.64)
20alpha-hydroxysteroid dehydrogenase	1.1.1.149
21-hydroxysteroid dehydrogenase (NAD+)	1.1.1.150
21-hydroxysteroid dehydrogenase (NADP+)	1.1.1.151
23S rRNA pseudouridine synthase	5.4.99.B4
24-hydroxycholesterol 7alpha-hydroxylase	1.14.13.99
24-methylenesterol C-methyltransferase	2.1.1.143
25-hydroxycholesterol 7alpha-hydroxylase	1.14.13.100
27-Hydroxycholesterol 7alpha-monooxygenase	1.14.13.60
2alpha-hydroxytaxane 2-O-benzoyltransferase	2.3.1.166
3''-deamino-3''-oxonicotianamine reductase	1.1.1.285
3'(2'),5'-bisphosphate nucleotidase	3.1.3.7
3',5'-cyclic-AMP phosphodiesterase	3.1.4.53
3',5'-cyclic-GMP phosphodiesterase	3.1.4.35
3',5'-cyclic-nucleotide phosphodiesterase	3.1.4.17
3'-demethylstaurosporine O-methyltransferase	2.1.1.139
3'-hydroxy-N-methyl-(S)-coclaurine 4'-O-methyltransferase	2.1.1.116
3'-nucleotidase	3.1.3.6
3(or 17)alpha-hydroxysteroid dehydrogenase	1.1.1.209
3(or 17)beta-hydroxysteroid dehydrogenase	1.1.1.51
3,4-dichloroaniline N-malonyltransferase	2.3.1.114
3,4-dihydroxy-2-butanone-4-phosphate synthase	4.1.99.12
3,4-dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione4,5-dioxygenase	1.13.11.25
3,4-dihydroxyphenylacetate 2,3-dioxygenase	1.13.11.15
3,4-dihydroxyphenylalanine oxidative deaminase	1.13.12.15
3,4-dihydroxyphenylalanine reductive deaminase	4.3.1.22
3,4-dihydroxyphthalate decarboxylase	4.1.1.69
3,7-dimethylquercetin 4'-O-methyltransferase	2.1.1.83
3,9-dihydroxypterocarpan 6a-monooxygenase	1.14.13.28
3-(hydroxyamino)phenol mutase	5.4.4.3
3-(imidazol-5-yl)lactate dehydrogenase	1.1.1.111
3-Aminobutyryl-CoA ammonia-lyase	4.3.1.14
3-Carboxy-cis,cis-muconate cycloisomerase	5.5.1.2
3-Cyanoalanine hydratase	4.2.1.65
3-Hydroxy-2-methylpyridine-4,5-dicarboxylate 4-decarboxylase	4.1.1.51
3-Hydroxy-3-isohexenylglutaryl-CoA lyase	4.1.3.26
3-Hydroxyaspartate aldolase	4.1.3.14
3-Hydroxybutyryl-CoA dehydratase	4.2.1.55
3-Hydroxybutyryl-CoA epimerase	5.1.2.3
3-Hydroxydecanoyl-[acyl-carrier-protein] dehydratase	4.2.1.60
3-Hydroxyoctanoyl-[acyl-carrier-protein] dehydratase	4.2.1.59
3-Hydroxypalmitoyl-[acyl-carrier-protein] dehydratase	4.2.1.61
3-Hydroxyphenylacetate 6-hydroxylase	1.14.13.63
3-Oxolaurate decarboxylase	4.1.1.56
3-aci-nitropropanoate oxidase	1.7.3.5
3-carboxyethylcatechol 2,3-dioxygenase	1.13.11.16
3-chloro-D-alanine dehydrochlorinase	4.5.1.2
3-dehydro-L-gulonate 2-dehydrogenase	1.1.1.130
3-dehydro-L-gulonate-6-phosphate decarboxylase	4.1.1.85
3-dehydroquinate dehydratase	4.2.1.10
3-dehydroquinate synthase	4.2.3.4
3-dehydrosphinganine reductase	1.1.1.102
3-demethylubiquinone-9 3-O-methyltransferase	2.1.1.64
3-deoxy-2-octulosonidase	3.2.1.124
3-deoxy-7-phosphoheptulonate synthase	2.5.1.54
3-deoxy-8-phosphooctulonate synthase	2.5.1.55
3-deoxy-D-manno-octulosonate aldolase	4.1.2.23
3-deoxy-manno-octulosonate cytidylyltransferase	2.7.7.38
3-deoxy-manno-octulosonate-8-phosphatase	3.1.3.45
3-deoxyoctulosonase	3.2.1.144
3-ethylmalate synthase	2.3.3.7
3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase	2.4.1.65
3-hexulose-6-phosphate synthase	4.1.2.43
3-hydroxy-16-methoxy-2,3-dihydrotabersonine N-methyltransferase	2.1.1.99
3-hydroxy-2-methylbutyryl-CoA dehydrogenase	1.1.1.178
3-hydroxy-2-methylpyridinecarboxylate dioxygenase	1.14.12.4
3-hydroxy-2-methylquinolin-4-one 2,4-dioxygenase	1.13.11.48
3-hydroxy-4-oxoquinoline 2,4-dioxygenase	1.13.11.47
3-hydroxyacyl-CoA dehydrogenase	1.1.1.35
3-hydroxyanthranilate 3,4-dioxygenase	1.13.11.6
3-hydroxyanthranilate 4-C-methyltransferase	2.1.1.97
3-hydroxyanthranilate oxidase	1.10.3.5
3-hydroxybenzoate 2-monooxygenase	1.14.99.23
3-hydroxybenzoate 4-monooxygenase	1.14.13.23
3-hydroxybenzoate 6-monooxygenase	1.14.13.24
3-hydroxybenzyl-alcohol dehydrogenase	1.1.1.97
3-hydroxybutyrate dehydrogenase	1.1.1.30
3-hydroxybutyryl-CoA dehydrogenase	1.1.1.157
3-hydroxycyclohexanone dehydrogenase	1.1.99.26
3-hydroxyisobutyrate dehydrogenase	1.1.1.31
3-hydroxyisobutyryl-CoA hydrolase	3.1.2.4
3-hydroxymethylcephem carbamoyltransferase	2.1.3.7
3-hydroxypimeloyl-CoA dehydrogenase	1.1.1.259
3-hydroxypropionate dehydrogenase	1.1.1.59
3-hydroxypropionyl-CoA ligase	6.2.1.B2
3-isopropylmalate dehydratase	4.2.1.33
3-isopropylmalate dehydrogenase	1.1.1.85
3-keto-steroid reductase	1.1.1.270
3-ketovalidoxylamine C-N-lyase	4.3.3.1
3-mercaptopyruvate sulfurtransferase	2.8.1.2
3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)	1.2.4.4
3-methyl-2-oxobutanoate dehydrogenase (ferredoxin)	1.2.7.7
3-methyl-2-oxobutanoate hydroxymethyltransferase	2.1.2.11
3-methylbutanal reductase	1.1.1.265
3-methyleneoxindole reductase	1.3.1.17
3-methylquercetin 7-O-methyltransferase	2.1.1.82
3-oxo-5alpha-steroid 4-dehydrogenase	1.3.99.5
3-oxo-5beta-steroid 4-dehydrogenase	1.3.99.6
3-oxoacid CoA-transferase	2.8.3.5
3-oxoacyl-[acyl-carrier-protein] reductase	1.1.1.100
3-oxoacyl-[acyl-carrier-protein] reductase (NADH)	1.1.1.212
3-oxoadipate CoA-transferase	2.8.3.6
3-oxoadipate enol-lactonase	3.1.1.24
3-oxoadipyl-CoA thiolase	2.3.1.174
3-oxosteroid 1-dehydrogenase	1.3.99.4
3-phenylpropanoate dioxygenase	1.14.12.19
3-phosphoglycerate phosphatase	3.1.3.38
3-phosphoglyceroyl-phosphate-polyphosphate phosphotransferase	2.7.4.17
3-phosphoshikimate 1-carboxyvinyltransferase	2.5.1.19
3-phytase	3.1.3.8
3-propylmalate synthase	2.3.3.12
3alpha(17beta)-hydroxysteroid dehydrogenase (NAD+)	1.1.1.239
3alpha(S)-strictosidine beta-glucosidase	3.2.1.105
3alpha(or 20beta)-hydroxysteroid dehydrogenase	1.1.1.53
3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA hydratase	4.2.1.107
3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA 24-hydroxylase	1.17.99.3
3alpha,7alpha,12alpha-trihydroxycholestan-26-al 26-oxidoreductase	1.2.1.40
3alpha,7alpha-Dihydroxy-5beta-cholestanate-CoA ligase	6.2.1.28
3alpha-hydroxy-5beta-androstane-17-one 3alpha-dehydrogenase	1.1.1.152
3alpha-hydroxycholanate dehydrogenase	1.1.1.52
3alpha-hydroxyglycyrrhetinate dehydrogenase	1.1.1.230
3alpha-hydroxysteroid dehydrogenase (A-specific)	1.1.1.213
3alpha-hydroxysteroid dehydrogenase (B-specific)	1.1.1.50
3beta(or 20alpha)-hydroxysteroid dehydrogenase	1.1.1.210
3beta-hydroxy-5alpha-steroid dehydrogenase	1.1.1.278
3beta-hydroxy-5beta-steroid dehydrogenase	1.1.1.277
3beta-hydroxy-DELTA5-steroid dehydrogenase	1.1.1.145
4'-methoxyisoflavone 2'-hydroxylase	1.14.13.53
4,5-Dihydroxyphthalate decarboxylase	4.1.1.55
4-(2-carboxyphenyl)-2-oxobut-3-enoate aldolase	4.1.2.34
4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	2.7.1.148
4-(dimethylamino)phenylazoxybenzene reductase	1.7.1.11
4-(hydroxymethyl)benzenesulfonate dehydrogenase	1.1.1.257
4-Carboxymethyl-4-methylbutenolide mutase	5.4.99.14
4-Chlorobenzoate-CoA ligase	6.2.1.33
4-Coumarate-CoA ligase	6.2.1.12
4-Deoxy-L-threo-5-hexosulose-uronate ketol-isomerase	5.3.1.17
4-Hydroxy-2-oxoglutarate aldolase	4.1.3.16
4-Hydroxybenzoate 1-hydroxylase	1.14.13.64
4-Hydroxybenzoate decarboxylase	4.1.1.61
4-Hydroxyproline epimerase	5.1.1.8
4-Hydroxyquinoline 3-monooxygenase	1.14.13.62
4-Methyleneglutamate-ammonia ligase	6.3.1.7
4-Oxalocrotonate decarboxylase	4.1.1.77
4-acetamidobutyrate deacetylase	3.5.1.63
4-acetamidobutyryl-CoA deacetylase	3.5.1.51
4-alpha-D-{(1->4)-alpha-D-glucano}trehalose trehalohydrolase	3.2.1.141
4-alpha-glucanotransferase	2.4.1.25
4-aminobenzoate 1-monooxygenase	1.14.13.27
4-aminobenzoylglutamate hydrolase	3.4.17.B2
4-aminobutyrate transaminase	2.6.1.19
4-carboxy-2-hydroxymuconate-6-semialdehyde dehydrogenase	1.2.1.45
4-carboxymuconolactone decarboxylase	4.1.1.44
4-chlorobenzoate dehalogenase	3.8.1.6
4-chlorobenzoyl-CoA dehalogenase	3.8.1.7
4-chlorophenylacetate 3,4-dioxygenase	1.14.12.9
4-cresol dehydrogenase (hydroxylating)	1.17.99.1
4-formylbenzenesulfonate dehydrogenase	1.2.1.62
4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase	2.4.1.152
4-hydroxy-2-oxovalerate aldolase	4.1.3.39
4-hydroxy-3-methylbut-2-enyl diphosphate reductase	1.17.1.2
4-hydroxy-4-methyl-2-oxoglutarate aldolase	4.1.3.17
4-hydroxyacetophenone monooxygenase	1.14.13.84
4-hydroxybenzaldehyde dehydrogenase	1.2.1.64
4-hydroxybenzoate 3-monooxygenase	1.14.13.2
4-hydroxybenzoate 3-monooxygenase [NAD(P)H]	1.14.13.33
4-hydroxybenzoate 4-O-beta-D-glucosyltransferase	2.4.1.194
4-hydroxybenzoate nonaprenyltransferase	2.5.1.39
4-hydroxybenzoate-CoA ligase	6.2.1.27
4-hydroxybenzoyl-CoA reductase	1.3.99.20
4-hydroxybenzoyl-CoA thioesterase	3.1.2.23
4-hydroxybutyrate dehydrogenase	1.1.1.61
4-hydroxycyclohexanecarboxylate dehydrogenase	1.1.1.226
4-hydroxyglutamate transaminase	2.6.1.23
4-hydroxymandelate oxidase	1.1.3.19
4-hydroxymandelate synthase	1.13.11.46
4-hydroxymuconic-semialdehyde dehydrogenase	1.2.1.61
4-hydroxyphenylacetaldehyde dehydrogenase	1.2.1.53
4-hydroxyphenylacetaldehyde oxime monooxygenase	1.14.13.68
4-hydroxyphenylacetate 1-monooxygenase	1.14.13.18
4-hydroxyphenylacetate 3-monooxygenase	1.14.13.3
4-hydroxyphenylacetate decarboxylase	4.1.1.83
4-hydroxyphenylpyruvate decarboxylase	4.1.1.80
4-hydroxyphenylpyruvate dioxygenase	1.13.11.27
4-hydroxyphenylpyruvate oxidase	1.2.3.13
4-hydroxythreonine-4-phosphate dehydrogenase	1.1.1.262
4-methoxybenzoate monooxygenase (O-demethylating)	1.14.99.15
4-methyleneglutaminase	3.5.1.67
4-methyloxaloacetate esterase	3.1.1.44
4-nitrophenol 2-monooxygenase	1.14.13.29
4-nitrophenylphosphatase	3.1.3.41
4-oxalmesaconate hydratase	4.2.1.83
4-oxoproline reductase	1.1.1.104
4-phosphoerythronate dehydrogenase	1.1.1.290
4-phytase	3.1.3.26
4-pyridoxolactonase	3.1.1.27
4-sulfobenzoate 3,4-dioxygenase	1.14.12.8
4-trimethylammoniobutyraldehyde dehydrogenase	1.2.1.47
4a-hydroxytetrahydrobiopterin dehydratase	4.2.1.96
5'-acylphosphoadenosine hydrolase	3.6.1.20
